Kalenjin,Kiswahili
emet ab kenya kotinye kipsomanink chechang en sukulit nemii ingweng,Nchini Kenya ina wanafunzi wengi katika shule ya msingi.
Mami panda ne makisirei tiemutik che koromen,Hakuna safari bila kuvuka mitihani ngumu.
"ichome ing'ololi mising, tos mengen isis?","mbona unaongea sana, kwani huwezi kunyamaza?"
Anani ngalek che kibiit eng sebenyo,Nikakumbuka mambo yaliyotukia kwa maisha yetu
 Kikinyoru kipsomaninik oeng komiansiot eng sukul, Wanafunzi wawili walipatikana wakiwa wagonjwa shuleni.
agot nda mangune biik chegikobeek aibe ,Hata ikitoka kwa maiti nitaichukua.
"miten biik chegisirto,ak alak koumianso ochei ak keger eng oleginyoen biik","Baadhi ya waja walienda jongomeo, wengine walijeruhiwa vibaya na kulazwa hospitalini na wengine walilemazwa. "
ngomauu beet koribe nderefaindet olewenditoi, hakutokuwa kama mchana pia dereva hauthibiti mwendo .
"amu kagowo sait,matinye chechang Cha much atestyi ,meche kegertoo komnyei oret","Kwa kuwa muda umeyoyoma sina mengi ya kuongezea, bali umakinifu wa barabarani ufuatwe."
kichamei kamet ko mwowech kole berber rutoiwo,Mama alipenda kutuambia kuwa safari ni mjinga
Ndatar ko ng'alek che kamwa ko magat kesup eng' weiy tugul,"Nikimalizia, mambo  niliyo yanakili yatiliwe mkazo ili ufisadi uangumizwe kila pembe."
Mamiten rwando karun  ngamun kityeni  koeech ,Hakuna usingizi kesho  juu tunimba hadi mchan
Karan kora kero yakweyet ab ng'ung'unyek kotko tos yai minutik ko rut anan oloo,Ni muhimu pia kuzingatia rotuba ya mchanga iwapo inaweza kumeesha mimea au la. 
yo chengee kuraishek komeche koborgei ago yoto negerei biik,kutafuta kura hutaka kujionyesha na hapo ndipo adinasi
kowaksot ago rabachi ago maingen iche kole ngalu,hupiga makofi na vigelegele bila kujua ni uongo.
koroito nito bo korno ko kiibu nyeranet neoo eng' ng'ony,uwele huu wa corona umesababisha madhara mengi duniani
sirik ab logoiywek ko komwa logoiywek ama tach chii ak chii agetukul kekoini imanit ng'wai,Wanahabari hao waripoti bila Kushinikizwa na yeyote na haki zao kupewa
mayanikei piik ineno ikotekei kelyek,Kusalimiana kwa miguu ina maanisha hakuna uaminifu baina ya watu.
