Kidaw'ida,Kiswahili
Idime ni ituku ja njumwa,Leo ni siku ya jumapili.
Vindo vako vaka tayari,Chakula chako kiko tayari.
Napoilwa kukwana naokumoni,Nimefurahi kukutana nawe.
Kusesowe kukotia makoto,Usikose kuuliza maswali.
Ini ni mwalimu wa kij'omba,Mimi ni mwalimu wa kiingereza.
Nyumba yapo yeka kavui na moda,Nyumba yangu iko karibu na mto.
Nalomba kunitesie na chaghu ichi,Naomba unisaidie na kazi hii.
Charo chapo chedeka kilacha na chechokesha,Safari yangu ilikuwa ndefu na ya kuchosha.
Wana wawecheza kiwachenyi,Watoto wanacheza uwanjani.
Matuku ghose nadapoilwa ni kushoma vuo,Siku zote ninafurahia kusoma vitabu.
Lumalwakenyi ni ngelo ipoiye yehoresha,Jioni ni wakati mzuri wa kupumzika.
Sikira nicha madongozo ghapo,Sikiliza kwa makini maelekezo yangu.
Mwatulituli wapo wawepata shida ya mtandao,Simu yangu inapata shida ya mtandao.
Charo cha moda mbaha nichesisimua,Safari ya baharini ni ya kusisimua.
"Iruwa jikatua, ndoe yakaia na rangi ighokie","Jua likizama, anga linakuwa lenye rangi nzuri."
Wandu wefwana wiheshimiane,Watu wanapaswa kuheshimiana.
Wutamaduni ghwa isanga jedu ni wuzuri,Utamaduni wa nchi yetu ni tajiri.
Nedepoilwa ni kujifundisha kitetu tofauti,Nilipenda kujifunza lugha tofauti.
Wusalama gha barabarenyi ni muhimu saana,Usalama wa barabarani ni muhimu sana.
Matuku ghose nawebonya mazoezi ikesho,Siku zote ninafanya mazoezi asubuhi.
Mando ghamu ni ncha kubonya mazoezi,Wakati mwingine ni vizuri kula matunda.
Ituku jako jike na kupoilwa,Siku yako iwe na furaha.
Napiolwagha kusarigha michezo,Ninapenda kucheza michezo.
Familia ni muhimu katika maisha ghapo,Familia ni muhimu katika maisha yangu.
Ngelo ra mruke ni ra modo saana,Majira ya joto ni ya moto sana.
Napoilwa kusikira habari ripoiye,Nimefurahi kusikia habari njema.
Kazi yapo yawehitaji wumakini,Kazi yangu inahitaji umakini.
Chuo kibaa ni andu kupoiye kushoma,Chuo kikuu ni mahali pazuri kusoma.
Izangajedu jeko na andu kupoiye kwa wutalii,Nchi yetu ina maeneo mazuri ya utalii.
Iruwa jawewaka angenyi,Jua linaangaza angani.
Maghesho ghako ni muhimu,Mawazo yako ni muhimu.
 Kunda jirani wako seji kujikunde,Penda jirani yako kama unavyojipenda.
Kuaeliwe kughua vilambo va fwana,Usisahau kununua vitu muhimu.
Tumia ngelo na marafiki wako,Tumia muda na marafiki zako.
Nadima kusikira lwaka lwa ndege,Naweza kusikia sauti ya ndege.
Kazi ipoiye yehitaji bidii,Kazi nzuri inahitaji bidii.
Lukundo ni hisia ipoie,Upendo ni hisia nzuri.
Bahari yeko na mawimbi ghipoiye,Bahari ina mawimbi mazuri.
Polisi wefwanwa kuhudumia jamii,Polisi wanapaswa kuhudumia jamii.
Wasafidi wadapoilwa nikusafiri kwa treni,Wasafiri wanapenda kusafiri kwa treni.
Navutilwa nu wutamaduni ghwa Asia,Nimevutiwa na utamaduni wa Asia.
Wana wfwana kusshoma kwa bidii,Watoto wanapaswa kusoma kwa bidii.
Kumbuka kunugha sheria,Kumbuka kufuata sheria.
Sikukuu ni ngelo yejumuika na familia,Sikukuu ni wakati wa kujumuika na familia.
Kwaki kwazamilwa,Kwa nini umekasirika?
Lukundo lwa mao ni lwa kipekee,Upendo wa mama ni wa kipekee.
Shimba ni nyamandu ibirie,Simba ni mnyama mkali.
Lukundo lwa imbiri,Upendo wa kwanza haukughairi.
Charo chipoiye cheko na malipo ghipoiye,Kazi nzuri ina malipo mazuri.
Deko na bahati kuka na afya ipoiye,Tuna bahati kuwa na afya njema.
Napoilwa ni kufuma shighadi ya izanga,Nimependa kusafiri nje ya nchi.
Nyerinyeri raweaka nakio,Nyota zinang'aa usiku.
Kusesighe ndodo rako rifo,Usiache ndoto zako zikufe.
Waukarimu ni sifa ipoiye,Ukarimu ni sifa nzuri.
Deko na nafsi ndazi rejifundisha,Tuna fursa nyingi za kujifunza.
Bahari yeko na viumbe verudia,Bahari ina viumbe wa kuvutia.
Nyonyi ridima kurama ighu,Ndege wanaweza kuruka juu.
Tumia muda na familia yako,Tumia muda na familia yako.
Mwaka mbishi ni nafasi yezoya wuwishi,Mwaka mpya ni fursa ya kuanza upya.
Wurumwengu ghodu ghokudikana kutunzwa,Dunia yetu inahitaji kutunzwa.
Ishima ni suti andenyi ya mahusiano,Heshima ni muhimu katika mahusiano.
Kazi ya ikwanyiko yadima kuka ipoiye zaidi,Kazi ya timu inaweza kuwa bora zaidi.
Hakuna kilambo chipoiye sa kisekesho,Hakuna kitu kizuri kama kichekesho.
Nachoka baada ya kazi ikurie,Nimechoka baada ya kazi ngumu.
Ishomo ni mfunguo ghwa mafanikio,Elimu ni ufunguo wa mafanikio.
Kuasefo ngolo tima sena,"Usikate tamaa, jaribu tena."
Bahari ni andu kupoiye kopumzika,Bahari ni sehemu nzuri ya kupumzika.
Nguwo rapo rachafuka,Nguo zangu zimechafuka.
Oghosha mikono yako na sabuni,Nawa mikono yako kwa sabuni.
"Mbeo ikavida, didapata theluji","Baridi inapofika, tunapata theluji."
Kujifundisha lugha mbishi ni changamodo,Kujifunza lugha mpya ni changamoto.
Napoilwa kukuwona sena,Nimefurahi kukuona tena.
Sanaa ni chia yejieleza,Sanaa ni njia ya kujieleza.
Nyamandu yefughwa ni rawiki mwaminifu,Mnyama wa kufugwa ni rafiki mwaminifu.
Wandu wengi wadapoilwaa ni kusafiri,Watu wengi wanapenda kusafiri.
Lukundo ni nguvu mbaa,Upendo ni nguvu kubwa.
Ndodo rako radima kuka loli,Ndoto zako zinaweza kuwa ukweli.
Kuseliwe kuduka kiisanduku chako cha vindo va nadime,Usisahau kubeba kisanduku chako cha chakula cha mchana.
Polisi wefwana luwilindia waisanga,Polisi wanapaswa kuwalinda raia.
Nyonyi ridima kusafiri kula,Ndege wanaweza kusafiri umbali mrefu.
Vindo va jioni ni muhimu,Chakula cha jioni ni muhimu.
Defwana kulindia mazingira,Tunapaswa kuhifadhi mazingira.
Chombo ichi ni cha thamani,Chombo hiki ni cha thamani.
Mruke ni ghwa ighu nadime ihi,Joto ni juu mchana huu.
Matuku ghose jifundishe kufuma kwa makosa ghako,Siku zote jifunze kutoka kwa makosa yako.
Wufundi ni wujuzi ghwa maana,Ufundi ni ujuzi mzuri.
Wanafunzi wefwana kushoma kwa bidii,Wanafunzi wanapaswa kusoma kwa bidii.
Barua pepe ni chia ya mawasiliano,Barua pepe ni njia ya mawasiliano.
Manya mazingira ghako,Fahamu mazingira yako.
Wusafiri ghwa wandu wose ni chia ipoiye yesafiri,Usafiri wa umma ni njia nzuri ya kusafiri.
Nyonyi ridima kudima nicha,Ndege wanaweza kutua salama.
Wana wefwana kusarigha shighadi,Watoto wanapaswa kucheza nje.
Ini ni mshomi wa maza ra sayansi,Mimi ni mwanafunzi wa taaluma ya sayansi.
Kazi yapo yehitaji wubunifu,Kazi yangu inahitaji ubunifu.
Poilwa ni kila ngelo y amaisha,Furahia kila wakati wa maisha.
Matuku ghose kuke waloli,Siku zote kuwa mkweli.
Wusafiri ghwa baisikeli ni ghwa,Usafiri wa baiskeli ni wa kijani.
Deko na fursa nyingi reboresha,Tuna fursa nyingi za kuboresha.
Kuseobuo kuzoya mradi ghwako,Usiogope kuanza mradi wako.
Mzunguko ghwa mach ni suti katika mazingira,Mzunguko wa maji ni muhimu kwa mazingira.
Kusesighe kulola maarifa,Usiache kutafuta maarifa.
Wuwezo ghwako ni mbaa,Uwezo wako ni mkubwa.
Tima vilambo viwishi katika maisha,Jaribu vitu vipya katika maisha.
Nguvu ya lukundo yadima kushinda kila kilambo,Nguvu ya upendo inaweza kushinda kila kitu.
Kushoma ni chia yejifundisha mengi,Kusoma ni njia ya kujifunza mengi.
Kuseliwe kughora ``chawucha'',"Usisahau kusema ""asante."""
Kazi ipoiye yeka na matokeo ghipoiye,Kazi nzuri ina matokeo mazuri.
Dekona ifungu jetesia wazima,Tuna wajibu wa kusaidia wengine.
Ndodo rako radima kuka wuloli ghwa kesho,Ndoto zako zinaweza kuwa ukweli wa kesho.
Bahati yadima kubadilika kwa haraka,Bahati inaweza kubadilika kwa haraka.
Napoilwa kukutesia,Nimefurahi kukusaidia.
Kila mndu wawehitaji rafiki wa loli,Kila mtu anahitaji rafiki wa kweli.
Ishima ni ilagho ja lazima,Heshima ni jambo la lazima.
Poilwa ni ituku jalo!,Furahia siku yako!
Wnake wefwana kuenda skulu,Watoto wanapaswa kuhudhuria shule.
Muziki ni sehemu ya maisha ghedu,Muziki ni sehemu ya maisha yetu.
Mulungu wadi jalia maisha ghipoiye,Mungu ametujaalia maisha mazuri.
Matunda na mbogha ni muhimu kwa afya,Matunda na mboga ni muhimu kwa afya.
Wusalama ghudu ni ijukumu jedu,Usalama wetu ni jukumu letu.
Defwana kuheshimu wutamaduni ghwa wazima,Tunapaswa kuheshimu utamaduni wa wengine.
Matuku ghose tima kubonya ilagho jipoiye,Siku zote jaribu kufanya jambo zuri.
Barafu yadima kuka ya mbeo kuchumba,Barafu inaweza kuwa baridi sana.
Deko na ifungu jetunza wanyama,Tuna wajibu wa kutunza wanyama.
Wanake ni hazina yedu,Watoto ni hazina yetu.
Poilwa ni vindo vako!,Furahia chakula chako!
Ini ni shabidi waa michezo,Mimi ni shabiki wa michezo.
Barua ni chia yewaasiliana,Barua ni njia ya kuwasiliana.
Kazi ipoiye yehitajji wuvumilivu,Kazi nzuri inahitaji uvumilivu.
Ngozi yako yefwana kulundilwa na iruwa,Ngozi yako inapaswa kulindwa na jua.
Lukundo lwa loli lwadaishi,Upendo wa dhati hauishi.
